date,bn,nf,usd
2023-03-16,39132.6015625,16985.599609375,82.7156982421875
2023-03-17,39598.1015625,17100.05078125,82.622802734375
2023-03-20,39361.94921875,16988.400390625,82.53299713134766
2023-03-21,39894.69921875,17107.5,82.52909851074219
2023-03-22,39999.05078125,17151.900390625,82.677001953125
2023-03-23,39616.8984375,17076.900390625,82.52580261230469
2023-03-24,39395.3515625,16945.05078125,82.26529693603516
2023-03-27,39431.30078125,16985.69921875,82.33879852294922
2023-03-28,39567.8984375,16951.69921875,82.21489715576172
2023-03-29,39910.1484375,17080.69921875,82.16429901123047
2023-03-31,40608.6484375,17359.75,82.10050201416016
2023-04-03,40813.05078125,17398.05078125,82.18479919433594
2023-04-05,40999.1484375,17557.05078125,82.11479949951172
2023-04-06,41041.0,17599.150390625,81.94999694824219
2023-04-10,40834.6484375,17624.05078125,81.88480377197266
2023-04-11,41366.5,17722.30078125,81.98390197753906
2023-04-12,41557.94921875,17812.400390625,82.07009887695312
2023-04-13,42132.55078125,17828.0,81.96060180664062
2023-04-17,42262.55078125,17706.849609375,81.84480285644531
2023-04-18,42265.19921875,17660.150390625,82.00370025634766
2023-04-19,42154.0,17618.75,82.10790252685547
2023-04-20,42269.5,17624.44921875,82.34010314941406
2023-04-21,42118.0,17624.05078125,82.14089965820312
2023-04-24,42635.75,17743.400390625,82.05480194091797
2023-04-25,42678.5,17769.25,81.85230255126953
2023-04-26,42829.8984375,17813.599609375,81.9916000366211
2023-04-27,43000.8515625,17915.05078125,81.76689910888672
2023-04-28,43233.8984375,18065.0,81.76509857177734
2023-05-02,43352.1015625,18147.650390625,81.77469635009766
2023-05-03,43312.69921875,18089.849609375,81.77870178222656
2023-05-04,43685.44921875,18255.80078125,81.77999877929688
2023-05-05,42661.19921875,18069.0,81.71610260009766
2023-05-08,43284.0,18264.400390625,81.72979736328125
2023-05-09,43198.1484375,18265.94921875,81.78710174560547
2023-05-10,43331.05078125,18315.099609375,82.1050033569336
