feature,ic,q,mi,imp,stab,captured_pct,clears_friction,category
expiry_dow,0.0069412927721408755,0.0027132837713282655,0.0038890694389226432,0.0016127502,1.0,0.0013723477571109504,False,D_noise
is_expiry,-0.001376643083561179,0.5794336699588628,0.0,0.0016064929,0.0,0.00027217308217425873,False,D_noise
rl8,0.004808778624905883,0.041389444229945095,0.002512442588907815,0.0015936915,0.8333333333333334,0.0009507330661543711,False,D_noise
prev_br,0.0030172776874657064,0.20991092628721889,0.0005159865730632873,0.001554486,0.8333333333333334,0.0005965393483463976,False,D_noise
rl5,0.00665853432789748,0.004082910413191808,0.00584116029727344,0.0015535608,0.8333333333333334,0.0013164442057841672,False,D_noise
bull_eng,-0.0034352087957569056,0.14853655432455018,0.0017290051280449692,0.0014794031,0.8333333333333334,0.0006791675903638314,False,D_noise
tf30_bull_trend,0.018117230662644007,4.953915874476058e-16,0.0008634288571285342,0.0014623008,1.0,0.0035819179050810735,False,B_weak
bos_bull,-0.005760048104950043,0.013873158746110231,0.0022547617312997925,0.0012040097,0.8333333333333334,0.0011388064669171601,False,D_noise
fvg_bull_prev,0.0016436214394306477,0.5074938969157619,0.0021024924118084876,0.0011979736,0.6666666666666666,0.00032495678686758937,False,D_noise
ob_bull,-0.003940204058440469,0.09832036086734193,0.0,0.0008628063,0.8333333333333334,0.000779009095231187,False,D_noise
is_marubozu,0.0029051903648029593,0.2228010548958081,0.0013761375184473401,0.0008524117,0.5,0.0005743788098262295,False,D_noise
above_vwap,0.018847335042604173,3.118757303869567e-17,0.010774930859142495,0.0,1.0,0.003726265239386954,False,B_weak
below_vwap,-0.018835778008330587,3.186368221259884e-17,0.0029711004211814274,0.0,1.0,0.0037239803235096314,False,C_redundant
below_prev_low,-0.017811996569424886,1.5165764354747986e-15,0.0002902680985683581,0.0,1.0,0.0035215707425317174,False,B_weak
expiry_is_tue,-0.006282162593904139,0.006938159410664108,0.0,0.0,1.0,0.0012420325764319576,False,C_redundant
vix_extreme_low,-0.0009252457654192823,0.7233570900648221,0.0005606755657381335,0.0,0.75,0.0001829283092691003,False,D_noise
