date,expiry,strike,opt_type,settle,oi,volume,underlying
2026-05-15,2026-06-02,26350,CE,2.35,31265,275,23643.5
2026-05-15,2026-06-02,25350,CE,10.85,4745,141,23643.5
2026-05-15,2026-06-02,25300,CE,12.15,48100,1537,23643.5
2026-05-15,2026-06-02,25000,CE,24.9,271700,9017,23643.5
2026-05-15,2026-06-02,24700,CE,50.55,80600,2198,23643.5
2026-05-15,2026-06-02,24500,CE,80.15,240565,9192,23643.5
2026-05-15,2026-06-30,21150,PE,14.6,0,0,23643.5
2026-05-15,2026-06-30,22800,PE,254.9,134290,2330,23643.5
2026-05-15,2026-06-30,23400,PE,433.1,110500,940,23643.5
2026-05-15,2026-06-30,24300,PE,876.35,106080,272,23643.5
2026-05-15,2026-06-30,24350,PE,883.35,17290,5,23643.5
2026-05-15,2026-06-30,24450,PE,964.0,16705,66,23643.5
2026-05-15,2026-06-02,24200,CE,149.55,124800,2603,23643.5
2026-05-15,2026-06-02,23850,CE,281.25,12350,357,23643.5
2026-05-15,2026-06-02,23550,CE,444.8,11960,38,23643.5
2026-05-15,2026-06-02,23450,CE,521.65,12220,25,23643.5
2026-05-15,2026-06-30,26500,PE,2732.0,28600,33,23643.5
2026-05-15,2026-06-30,27000,PE,3198.0,2567320,341,23643.5
2026-05-15,2026-07-28,21850,PE,107.9,260,4,23643.5
2026-05-15,2026-07-28,22100,PE,211.65,780,10,23643.5
2026-05-15,2026-07-28,22350,PE,254.35,1105,25,23643.5
2026-05-15,2026-07-28,22500,PE,278.2,418665,1069,23643.5
2026-05-15,2026-07-28,22600,PE,296.05,3250,37,23643.5
2026-05-15,2026-07-28,24300,PE,933.9,26585,80,23643.5
2026-05-15,2026-07-28,24550,PE,1085.2,5850,0,23643.5
2026-05-15,2026-07-28,25850,PE,2046.4,65,0,23643.5
2026-05-15,2026-06-02,23400,CE,522.8,16380,184,23643.5
2026-05-15,2026-06-02,22550,CE,1200.45,390,2,23643.5
2026-05-15,2026-06-02,22350,CE,1383.2,455,0,23643.5
2026-05-15,2026-06-02,22250,CE,1476.95,390,0,23643.5
2026-05-15,2026-06-02,22150,CE,1571.95,0,0,23643.5
2026-05-15,2026-06-02,21700,CE,2009.7,0,0,23643.5
2026-05-15,2026-06-02,21600,CE,2108.35,0,0,23643.5
2026-05-15,2026-09-29,27000,PE,2935.5,211930,4,23643.5
2026-05-15,2026-12-29,34500,PE,9517.95,0,0,23643.5
2026-05-15,2027-03-30,15000,PE,0.75,130,0,23643.5
2026-05-15,2027-03-30,27000,PE,2724.6,0,0,23643.5
2026-05-15,2027-03-30,28500,PE,3807.55,0,0,23643.5
2026-05-15,2027-06-29,30000,PE,4763.85,0,0,23643.5
2026-05-15,2027-12-28,15000,PE,7.95,625,0,23643.5
2026-05-15,2027-12-28,16500,PE,28.95,0,0,23643.5
2026-05-15,2027-12-28,22500,PE,714.0,0,0,23643.5
2026-05-15,2028-06-27,22000,PE,637.3,975,0,23643.5
2026-05-15,2028-12-26,30000,PE,3719.15,0,0,23643.5
2026-05-15,2030-06-25,33000,PE,4393.3,0,0,23643.5
2026-05-15,2030-12-31,31500,PE,3419.5,0,0,23643.5
2026-05-15,2030-12-31,33000,PE,4078.05,0,0,23643.5
2026-05-15,2030-12-31,34500,PE,4788.05,0,0,23643.5
2026-05-15,2026-06-02,21150,CE,2555.05,0,0,23643.5
2026-05-15,2026-05-26,27150,CE,0.8,26910,122,23643.5
2026-05-15,2026-05-26,26600,CE,1.15,83200,468,23643.5
2026-05-15,2026-05-26,26250,CE,1.4,32825,194,23643.5
2026-05-15,2026-05-26,26150,CE,1.15,71565,1165,23643.5
2026-05-15,2026-05-26,25600,CE,2.95,369265,10957,23643.5
2026-05-15,2026-05-26,25250,CE,5.05,112320,4003,23643.5
2026-05-15,2026-05-26,24800,CE,14.9,1412190,44787,23643.5
2026-05-15,2026-05-26,24700,CE,19.3,1153555,42187,23643.5
2026-05-15,2026-05-26,24550,CE,30.85,230880,9772,23643.5
2026-05-15,2026-05-26,23550,CE,342.8,93275,3437,23643.5
2026-05-15,2026-05-26,22300,CE,1389.2,3315,1,23643.5
2026-05-15,2026-05-19,26550,CE,0.4,489385,27920,23643.5
2026-05-15,2026-05-19,26200,CE,0.55,161655,5926,23643.5
2026-05-15,2026-05-19,26150,CE,0.55,92495,7690,23643.5
2026-05-15,2026-05-19,26100,CE,0.6,234455,7336,23643.5
2026-05-15,2026-05-19,25250,CE,1.0,870805,42315,23643.5
2026-05-15,2026-05-19,23300,CE,389.45,547040,35464,23643.5
2026-05-15,2026-05-19,22700,CE,944.35,13585,175,23643.5
2026-05-15,2026-05-19,22400,CE,1235.35,325,6,23643.5
2026-05-15,2026-05-19,22050,CE,1607.7,0,0,23643.5
2026-05-15,2026-05-19,21800,CE,1857.55,0,0,23643.5
2026-05-15,2026-05-19,21200,CE,2457.15,0,0,23643.5
2026-05-15,2026-06-30,23350,CE,800.8,3965,52,23643.5
2026-05-15,2026-06-30,24100,CE,399.8,118950,814,23643.5
2026-05-15,2026-06-30,24500,CE,251.25,1636635,12849,23643.5
2026-05-15,2026-06-30,25550,CE,54.25,34320,159,23643.5
2026-05-15,2026-06-30,25200,CE,92.75,287170,5353,23643.5
2026-05-15,2026-06-30,25300,CE,79.6,225160,3826,23643.5
2026-05-15,2026-06-30,25600,CE,48.55,155740,1455,23643.5
2026-05-15,2026-07-28,21150,CE,2808.55,0,0,23643.5
2026-05-15,2026-07-28,21200,CE,2762.35,0,0,23643.5
2026-05-15,2026-05-26,25000,PE,1353.4,1848405,2295,23643.5
2026-05-15,2026-05-26,25450,PE,1763.8,520,2,23643.5
2026-05-15,2029-06-26,16500,CE,10197.3,0,0,23643.5
2026-05-15,2029-06-26,24000,CE,5101.9,0,0,23643.5
2026-05-15,2029-12-24,31500,CE,2577.9,0,0,23643.5
2026-05-15,2029-12-24,33000,CE,2170.0,0,0,23643.5
2026-05-15,2030-12-31,25500,CE,6041.35,0,0,23643.5
2026-05-15,2026-05-19,21600,PE,1.35,676975,64639,23643.5
2026-05-15,2026-05-19,22150,PE,2.05,536965,67432,23643.5
2026-05-15,2026-05-19,22250,PE,2.3,1932775,159771,23643.5
2026-05-15,2026-05-26,25600,PE,1942.0,29510,32,23643.5
2026-05-15,2026-05-26,26100,PE,2430.65,30745,18,23643.5
2026-05-15,2026-05-26,26400,PE,2709.9,29965,1,23643.5
2026-05-15,2026-05-26,27000,PE,3331.75,784420,374,23643.5
2026-05-15,2026-06-02,21600,PE,16.4,6435,122,23643.5
2026-05-15,2026-06-02,21750,PE,20.05,3120,45,23643.5
2026-05-15,2026-06-02,22900,PE,125.45,44590,1180,23643.5
2026-05-15,2026-06-02,23300,PE,225.4,67470,2534,23643.5
2026-05-15,2026-06-02,24900,PE,1231.7,325,0,23643.5
2026-05-15,2026-06-02,25450,PE,1746.0,0,0,23643.5
2026-05-15,2026-06-02,25650,PE,1940.1,0,0,23643.5
2026-05-15,2026-06-02,25750,PE,2038.0,0,0,23643.5
